QueryProject,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
AnnotationServer,"(0.15905988144773825, 'Remote')","(0.16969684870021567, 'Hypothesis')","(0.1794860200442398, 'Neo4J')","(0.4527456315283571, 'BrowserStorage')","(0.4878140258124307, 'DOI')","(0.4895022263600578, 'ScienceDirect')","(0.5257316032397521, 'TXT')","(0.5382686372954187, 'GoogleSheetProvider')","(0.5521738965939788, 'Manual')","(0.6741242625466057, 'URL')","(0.6758554492374554, 'Alphabetical')","(0.6825831952256476, 'Date')","(0.68262941250712, 'Number')","(0.6841355021617581, 'HTML')","(0.6857407239814715, 'Export')","(0.6861343770798642, 'Assessing')","(0.6865754139674125, 'PDF')","(0.6874177778336894, 'Canvas')","(0.6875505278967458, 'LastAnnotation')","(0.6883301084165697, 'MoodleComment')","(0.6885119920559148, 'TextSummary')","(0.6887376479312812, 'Categorize')","(0.6887596553237327, 'SentimentAnalysis')","(0.6888073606456551, 'AnnotationList')","(0.6899126272540772, 'URN')","(0.6899525929876936, 'Dropbox')","(0.6901939310515057, 'JSON')","(0.6902305384885052, 'Commenting')","(0.6902707363485567, 'Update')","(0.6904278080842161, 'Create')","(0.6904438205412278, 'Autocomplete')","(0.6904497956859317, 'Delete')","(0.6905327684749617, 'MoodleConsumer')","(0.6908029038303365, 'SuggestedLiterature')","(0.6908585602682908, 'DeleteAll')","(0.690927740887206, 'ACM')","(0.6911264162848708, 'Selector')","(0.6911555953567975, 'Springer')","(0.6911643664639848, 'AnnotatedPDF')","(0.6912239847755479, 'ImportAnnotations')","(0.691254944774736, 'MoodleReport')","(0.6913842193159659, 'Classifying')","(0.6914337699248199, 'UserFilter')","(0.6914830378208758, 'Replying')","(0.6915104098757656, 'SidebarNavigation')","(0.6916503440670791, 'Codebook')","(0.6916900604421146, 'PreviousAssignments')","(0.6917357249538749, 'ImportCodebook')","(0.6917756798677057, 'MoodleResource')","(0.6918662940770272, 'Multivalued')","(0.6918965595661645, 'ExportCodebook')","(0.6919600320706376, 'CodebookDelete')","(0.691989474835618, 'RenameCodebook')","(0.6920630066591282, 'BuiltIn')","(0.6921741612715806, 'GoogleSheetConsumer')","(0.6921940973895093, 'ApplicationBased')","(0.6922909246179669, 'Hierarchy')","(0.6924657170355173, 'CodebookUpdate')","(0.6927438070787713, 'MoodleProvider')","(1, 'AnnotationServer')"
Hierarchy,"(0.05424736847934292, 'Multivalued')","(0.0627746780978223, 'CodebookUpdate')","(0.06623401137736545, 'SidebarNavigation')","(0.1014750930335437, 'Date')","(0.2145023279440776, 'Classifying')","(0.2948287459063676, 'Export')","(0.3019590519476999, 'Autocomplete')","(0.3129907714518779, 'Codebook')","(0.3665775729596059, 'MoodleReport')","(0.4123094963313023, 'Remote')","(0.4820716344103052, 'ImportAnnotations')","(0.5088039338073251, 'Selector')","(0.5195846969117736, 'ImportCodebook')","(0.5296087238481428, 'BuiltIn')","(0.5520009276777729, 'ExportCodebook')","(0.6033761886862555, 'Alphabetical')","(0.6068803589569329, 'Number')","(0.623578221619232, 'GoogleSheetConsumer')","(0.6248806760347565, 'GoogleSheetProvider')","(0.6462348065155471, 'Update')","(0.6463994989104911, 'Create')","(0.6464224615229283, 'Delete')","(0.6474177230117182, 'UserFilter')","(0.6516932583627748, 'DeleteAll')","(0.6652918532188881, 'Replying')","(0.6678094741043887, 'URL')","(0.6703286590069513, 'DOI')","(0.6727287687432217, 'Hypothesis')","(0.6779858057643522, 'CodebookDelete')","(0.6814428649239517, 'HTML')","(0.6842367265038565, 'Assessing')","(0.6848545941346273, 'PDF')","(0.6860708316733224, 'Canvas')","(0.6862199566086136, 'LastAnnotation')","(0.6865176551261032, 'TXT')","(0.6873078377311306, 'MoodleComment')","(0.6877096285474422, 'TextSummary')","(0.6878736534405303, 'Categorize')","(0.6879926881251073, 'SentimentAnalysis')","(0.6880193906202112, 'AnnotationList')","(0.6894817100900235, 'URN')","(0.6897077097482447, 'Dropbox')","(0.689906717756406, 'Commenting')","(0.689906866598976, 'JSON')","(0.6903043886777624, 'MoodleConsumer')","(0.6906824340321416, 'SuggestedLiterature')","(0.6908116631109392, 'ACM')","(0.6910281125396238, 'Neo4J')","(0.691041972429468, 'ScienceDirect')","(0.6910960638672146, 'Springer')","(0.6911068695859368, 'AnnotatedPDF')","(0.6917404759234027, 'BrowserStorage')","(0.6918018737839686, 'PreviousAssignments')","(0.69182785052794, 'MoodleResource')","(0.6920622005120098, 'RenameCodebook')","(0.6922765664250619, 'ApplicationBased')","(0.6922909246179669, 'AnnotationServer')","(0.692391225771697, 'Manual')","(0.6928086928523621, 'MoodleProvider')","(1, 'Hierarchy')"
MoodleReport,"(0.16531441860789112, 'MoodleComment')","(0.16645997555101097, 'MoodleResource')","(0.24923739833122813, 'Multivalued')","(0.3284106612847454, 'Autocomplete')","(0.3665775729596059, 'Hierarchy')","(0.3690531666142224, 'CodebookUpdate')","(0.37742036912703264, 'SidebarNavigation')","(0.3954074598769505, 'Date')","(0.42848818518364945, 'Classifying')","(0.4368107656906599, 'Remote')","(0.45783398771124384, 'Export')","(0.47165639294148565, 'Codebook')","(0.4772415253783703, 'ImportAnnotations')","(0.4797245344212312, 'TextSummary')","(0.4834223027457665, 'PreviousAssignments')","(0.4889651053091131, 'LastAnnotation')","(0.49279106317551596, 'Canvas')","(0.49309779914372004, 'AnnotatedPDF')","(0.5183955224684205, 'AnnotationList')","(0.5688605666131847, 'JSON')","(0.5759300791298196, 'ImportCodebook')","(0.5822392335120758, 'BuiltIn')","(0.5837962160418637, 'Selector')","(0.5844375853655319, 'DeleteAll')","(0.5926800951971752, 'Dropbox')","(0.6030047947670143, 'ExportCodebook')","(0.619742689492544, 'SentimentAnalysis')","(0.6566697804132369, 'GoogleSheetConsumer')","(0.6617390562928178, 'URL')","(0.6643008735009492, 'Alphabetical')","(0.674845834039741, 'Number')","(0.677235180363577, 'HTML')","(0.6804681970764144, 'Assessing')","(0.6811944782007553, 'PDF')","(0.682404978194654, 'TXT')","(0.6848608425155485, 'Categorize')","(0.6869670669846442, 'URN')","(0.6875578132717534, 'Commenting')","(0.6876332546269484, 'Update')","(0.6879297147228158, 'Create')","(0.6879714306827454, 'Delete')","(0.6881293360812297, 'MoodleConsumer')","(0.688290201116949, 'DOI')","(0.6885869196979602, 'SuggestedLiterature')","(0.6888916333616089, 'ACM')","(0.6888944094852245, 'Neo4J')","(0.6889318008141042, 'ScienceDirect')","(0.6893391248707865, 'Springer')","(0.6898917466448264, 'UserFilter')","(0.6898926600492996, 'Replying')","(0.69007942231946, 'Hypothesis')","(0.6902866962980543, 'BrowserStorage')","(0.6908613578475159, 'CodebookDelete')","(0.6909996422435114, 'RenameCodebook')","(0.6911802575819583, 'Manual')","(0.691254944774736, 'AnnotationServer')","(0.6913979030499249, 'ApplicationBased')","(0.6917196575730955, 'GoogleSheetProvider')","(0.6923766610184495, 'MoodleProvider')","(1, 'MoodleReport')"
MoodleResource,"(0.003966134998663238, 'MoodleComment')","(0.16645997555101097, 'MoodleReport')","(0.4426401921165976, 'PreviousAssignments')","(0.5174595203926284, 'Autocomplete')","(0.5571571832077502, 'Multivalued')","(0.584910244694859, 'Remote')","(0.6440220322856516, 'TextSummary')","(0.6779790188772523, 'URL')","(0.6790890273959858, 'Alphabetical')","(0.6836689104778155, 'Date')","(0.6837723883506434, 'Number')","(0.6848357055891255, 'HTML')","(0.6859198260603578, 'Export')","(0.686289415921568, 'Assessing')","(0.6866197447929784, 'PDF')","(0.6870148841068688, 'TXT')","(0.68720107082538, 'Canvas')","(0.6873679557581441, 'LastAnnotation')","(0.6881946127473095, 'SentimentAnalysis')","(0.6883009271677345, 'AnnotationList')","(0.6883256379707308, 'Categorize')","(0.6891104144626033, 'Dropbox')","(0.6893563193284201, 'URN')","(0.6895415118937416, 'JSON')","(0.6896568142418826, 'Commenting')","(0.6896956559589625, 'Update')","(0.6898494218104065, 'Create')","(0.6898712098076001, 'Delete')","(0.6899540385040942, 'MoodleConsumer')","(0.6899702259906404, 'DOI')","(0.6901365010013338, 'DeleteAll')","(0.6901834682723735, 'SuggestedLiterature')","(0.6903270511580902, 'Neo4J')","(0.6903493411504766, 'ScienceDirect')","(0.6903627012455094, 'ACM')","(0.6904394782742127, 'Selector')","(0.6905465888584006, 'ImportAnnotations')","(0.6906105202952358, 'Springer')","(0.690620252202535, 'AnnotatedPDF')","(0.690791450497273, 'Classifying')","(0.6908856603635191, 'SidebarNavigation')","(0.690915231818505, 'Replying')","(0.6909264723451399, 'UserFilter')","(0.690986497705564, 'Codebook')","(0.6910072254343916, 'Hypothesis')","(0.6910789957815873, 'ImportCodebook')","(0.691153145873608, 'BrowserStorage')","(0.6913106523614865, 'ExportCodebook')","(0.691513386560637, 'CodebookDelete')","(0.6915748226483058, 'BuiltIn')","(0.6916030715674273, 'RenameCodebook')","(0.6917389411512451, 'Manual')","(0.6917756798677057, 'AnnotationServer')","(0.6917862265167314, 'GoogleSheetConsumer')","(0.69182785052794, 'Hierarchy')","(0.6918648691244109, 'ApplicationBased')","(0.6921015024766703, 'GoogleSheetProvider')","(0.6921509664070843, 'CodebookUpdate')","(0.6925703794299164, 'MoodleProvider')","(1, 'MoodleResource')"
Selector,"(0.033872885861655676, 'Replying')","(0.0775170129412461, 'Commenting')","(0.07784032971137858, 'Categorize')","(0.07991549475124247, 'Assessing')","(0.08067662742368202, 'SuggestedLiterature')","(0.14538110032169388, 'Classifying')","(0.16193622823008158, 'Autocomplete')","(0.2169729661128615, 'SentimentAnalysis')","(0.31790937478353426, 'AnnotationList')","(0.3236172000093148, 'SidebarNavigation')","(0.5047829588344643, 'Update')","(0.5050000832367214, 'Create')","(0.5050309595184258, 'Delete')","(0.5065449974420049, 'UserFilter')","(0.5088039338073251, 'Hierarchy')","(0.5333883765980226, 'Multivalued')","(0.5334469194952063, 'Remote')","(0.5346144461141353, 'DeleteAll')","(0.5356208887574907, 'CodebookUpdate')","(0.5364342683247936, 'Date')","(0.5632103531251906, 'Export')","(0.574043852241344, 'Codebook')","(0.5837962160418637, 'MoodleReport')","(0.6050572339168574, 'TXT')","(0.6096753433579185, 'ImportAnnotations')","(0.6101147314838978, 'Hypothesis')","(0.6203282747713548, 'ImportCodebook')","(0.6238935103339598, 'BuiltIn')","(0.6343621916255264, 'ExportCodebook')","(0.6589684713558632, 'CodebookDelete')","(0.6620923778964811, 'URL')","(0.6645090357111018, 'Alphabetical')","(0.674676127001864, 'Number')","(0.6770031600135218, 'HTML')","(0.6808954704291881, 'PDF')","(0.6821855893627722, 'Canvas')","(0.6825135196784353, 'LastAnnotation')","(0.6837448976554024, 'TextSummary')","(0.6838447875547817, 'MoodleComment')","(0.6863010029253442, 'Dropbox')","(0.6866976992419259, 'URN')","(0.6870988031348837, 'JSON')","(0.6878929770582864, 'MoodleConsumer')","(0.6879819199567301, 'DOI')","(0.6886368791424005, 'Neo4J')","(0.6886781149584944, 'ScienceDirect')","(0.6886826396055201, 'ACM')","(0.6891481421398997, 'Springer')","(0.6891661946273827, 'AnnotatedPDF')","(0.690034809513862, 'PreviousAssignments')","(0.6901192380539632, 'BrowserStorage')","(0.6904394782742127, 'MoodleResource')","(0.6908835781260854, 'RenameCodebook')","(0.6910118728974362, 'Manual')","(0.6911264162848708, 'AnnotationServer')","(0.6911511251584037, 'GoogleSheetConsumer')","(0.6912999639231479, 'ApplicationBased')","(0.6916109672351817, 'GoogleSheetProvider')","(0.6923176102035233, 'MoodleProvider')","(1, 'Selector')"
DOI,"(0.02583158181615633, 'ScienceDirect')","(0.06396060048515725, 'ACM')","(0.06420064978898316, 'Springer')","(0.1272025407744506, 'PreviousAssignments')","(0.18957691350041017, 'Dropbox')","(0.4878140258124307, 'AnnotationServer')","(0.5007733806026702, 'Autocomplete')","(0.505125909399686, 'Hypothesis')","(0.5201373907869546, 'Remote')","(0.5280732820591405, 'Neo4J')","(0.5553646427344927, 'GoogleSheetProvider')","(0.5651261683477096, 'Canvas')","(0.5933107716856811, 'TextSummary')","(0.595740978122543, 'TXT')","(0.600083900251605, 'Manual')","(0.6151683750983964, 'BrowserStorage')","(0.6217305452833723, 'URL')","(0.6253395110361295, 'GoogleSheetConsumer')","(0.6572281895712795, 'Alphabetical')","(0.6695780323261751, 'Date')","(0.669821944762836, 'Number')","(0.6703286590069513, 'Hierarchy')","(0.6727659658030283, 'HTML')","(0.675839440547487, 'Export')","(0.6768207024246439, 'Assessing')","(0.6777437326339745, 'PDF')","(0.6792297175814257, 'SuggestedLiterature')","(0.6798302777793845, 'LastAnnotation')","(0.681552208324671, 'MoodleComment')","(0.6822118984325634, 'SentimentAnalysis')","(0.6824598578996112, 'AnnotationList')","(0.6824750822550314, 'Categorize')","(0.6852425723535324, 'URN')","(0.6857614689770315, 'JSON')","(0.6860226803507636, 'Commenting')","(0.6861223406762924, 'Update')","(0.6865139538327127, 'Create')","(0.6865690503104969, 'Delete')","(0.6867775663851097, 'MoodleConsumer')","(0.687268365036301, 'DeleteAll')","(0.6879819199567301, 'Selector')","(0.6882267335642882, 'ImportAnnotations')","(0.688290201116949, 'MoodleReport')","(0.688392358547346, 'AnnotatedPDF')","(0.6887794629709973, 'Classifying')","(0.6889776651889064, 'SidebarNavigation')","(0.6890547602126442, 'Replying')","(0.6890901916551453, 'UserFilter')","(0.6891635488570569, 'Codebook')","(0.689339927489192, 'ImportCodebook')","(0.6898199261610187, 'ExportCodebook')","(0.6899702259906404, 'MoodleResource')","(0.6900401697141834, 'Multivalued')","(0.6902994749692257, 'CodebookDelete')","(0.6903569431067134, 'BuiltIn')","(0.6905077711971082, 'RenameCodebook')","(0.6910040385459272, 'ApplicationBased')","(0.6914213408510328, 'CodebookUpdate')","(0.6921767924658189, 'MoodleProvider')","(1, 'DOI')"
Categorize,"(0.0007161107737142485, 'Commenting')","(0.0015917984012854191, 'Assessing')","(0.004595060268546484, 'SuggestedLiterature')","(0.04598373502177298, 'Replying')","(0.07784032971137858, 'Selector')","(0.16116607150762027, 'SentimentAnalysis')","(0.23434841684739582, 'Classifying')","(0.2775350401217075, 'AnnotationList')","(0.2980331320946069, 'Autocomplete')","(0.5241107839904446, 'SidebarNavigation')","(0.5916965124650981, 'TXT')","(0.6054663335927286, 'Hypothesis')","(0.6562586463972475, 'URL')","(0.6576955669834239, 'Alphabetical')","(0.6664794356629928, 'Date')","(0.6673068171192849, 'Number')","(0.6697138413931405, 'HTML')","(0.6717282498340602, 'Export')","(0.6741781903823487, 'PDF')","(0.6752888411813807, 'Canvas')","(0.6758815424271689, 'TextSummary')","(0.6762409986309897, 'LastAnnotation')","(0.6778262122900724, 'Remote')","(0.6780484513770751, 'MoodleComment')","(0.6794002245257907, 'Dropbox')","(0.6822640121704794, 'JSON')","(0.6822848072569516, 'URN')","(0.6824750822550314, 'DOI')","(0.6833688660313737, 'Update')","(0.6835302968130326, 'DeleteAll')","(0.6838596915356148, 'Create')","(0.6839291274099601, 'Delete')","(0.6841679494995071, 'Neo4J')","(0.6841927247045975, 'MoodleConsumer')","(0.6843012883915297, 'ScienceDirect')","(0.6848468727401917, 'ImportAnnotations')","(0.6848608425155485, 'MoodleReport')","(0.6854790044676031, 'ACM')","(0.6854953150546919, 'Codebook')","(0.6855726618096997, 'ImportCodebook')","(0.6862402875813549, 'Springer')","(0.6862697898178367, 'AnnotatedPDF')","(0.6865316984659724, 'ExportCodebook')","(0.6865849642952864, 'PreviousAssignments')","(0.6871793842918748, 'UserFilter')","(0.687341948036305, 'BrowserStorage')","(0.6876353921002043, 'Manual')","(0.6876809492405822, 'BuiltIn')","(0.6878418700287191, 'Multivalued')","(0.6878736534405303, 'Hierarchy')","(0.688284362023162, 'CodebookDelete')","(0.6883256379707308, 'MoodleResource')","(0.6887376479312812, 'AnnotationServer')","(0.6889253742806426, 'GoogleSheetConsumer')","(0.689020043968589, 'RenameCodebook')","(0.6894553944216917, 'GoogleSheetProvider')","(0.689548307893753, 'CodebookUpdate')","(0.6896534277560018, 'ApplicationBased')","(0.6910985816399167, 'MoodleProvider')","(1, 'Categorize')"
ExportCodebook,"(0.07939300819013204, 'RenameCodebook')","(0.0864345363549977, 'CodebookDelete')","(0.12036883227492666, 'Manual')","(0.16453178521401057, 'ImportCodebook')","(0.4119632389637363, 'CodebookUpdate')","(0.4124428226415311, 'DeleteAll')","(0.4197025187712718, 'Export')","(0.4397448511847601, 'ImportAnnotations')","(0.4461169726188372, 'Codebook')","(0.5064642345065004, 'JSON')","(0.5414760485266181, 'Date')","(0.5520009276777729, 'Hierarchy')","(0.5548471099860918, 'TXT')","(0.5551747371069177, 'Alphabetical')","(0.5608405352129975, 'Neo4J')","(0.5644589958041406, 'Multivalued')","(0.5676916018836369, 'SidebarNavigation')","(0.5822333006566313, 'Classifying')","(0.5847297447058979, 'BuiltIn')","(0.5956479807036568, 'Autocomplete')","(0.6030047947670143, 'MoodleReport')","(0.6116945242687961, 'Remote')","(0.6343621916255264, 'Selector')","(0.6416985084787707, 'TextSummary')","(0.6465479970555317, 'Number')","(0.6505825544155415, 'PreviousAssignments')","(0.6637708039426943, 'URL')","(0.6792168778868366, 'HTML')","(0.6823786652802998, 'Assessing')","(0.6830798540048455, 'PDF')","(0.6844326918643919, 'Canvas')","(0.6846341621817216, 'LastAnnotation')","(0.6858798970045885, 'MoodleComment')","(0.6865316984659724, 'Categorize')","(0.6865930446756705, 'SentimentAnalysis')","(0.6866577297957918, 'AnnotationList')","(0.6884084615268695, 'URN')","(0.6885242740012838, 'Dropbox')","(0.6889138572217166, 'Commenting')","(0.6889776202250119, 'Update')","(0.6892263940169854, 'Create')","(0.6892611658309085, 'Delete')","(0.6893922515851081, 'MoodleConsumer')","(0.6898199261610187, 'DOI')","(0.689826292242481, 'SuggestedLiterature')","(0.6900127783474939, 'ACM')","(0.6902186301467277, 'ScienceDirect')","(0.6903672691158649, 'Springer')","(0.690380850134698, 'AnnotatedPDF')","(0.6907951274052457, 'UserFilter')","(0.6908816002386868, 'Replying')","(0.6911614374348176, 'BrowserStorage')","(0.6913106523614865, 'MoodleResource')","(0.6913978834382644, 'Hypothesis')","(0.6918945432026748, 'GoogleSheetConsumer')","(0.6918965595661645, 'AnnotationServer')","(0.6919182995826714, 'ApplicationBased')","(0.6922411373535275, 'GoogleSheetProvider')","(0.6926543807387906, 'MoodleProvider')","(1, 'ExportCodebook')"
Springer,"(2.2637038185932752e-05, 'ACM')","(0.06420064978898316, 'DOI')","(0.071862643022175, 'PreviousAssignments')","(0.0771559279948326, 'ScienceDirect')","(0.17280360757055205, 'Dropbox')","(0.49102568852922945, 'Autocomplete')","(0.5642569247085292, 'Canvas')","(0.5928975751394674, 'TextSummary')","(0.666140737022741, 'Manual')","(0.6738909438132685, 'URL')","(0.675052371901075, 'Alphabetical')","(0.6802749643873987, 'Date')","(0.6804838196027163, 'Number')","(0.6817588988075658, 'HTML')","(0.6830051913632686, 'Export')","(0.6835591009127095, 'Assessing')","(0.6839796466603638, 'PDF')","(0.6840696091008247, 'TXT')","(0.6849513927155764, 'LastAnnotation')","(0.6857817078938666, 'MoodleComment')","(0.6859095523163481, 'SentimentAnalysis')","(0.686122413791308, 'AnnotationList')","(0.6861753334294587, 'Remote')","(0.6862402875813549, 'Categorize')","(0.6876922601560563, 'URN')","(0.6878843254124126, 'JSON')","(0.6881282306462405, 'Commenting')","(0.6881849566167059, 'Update')","(0.6884102866875442, 'Create')","(0.6884423087280092, 'Delete')","(0.688564239817163, 'MoodleConsumer')","(0.6886873222176038, 'DeleteAll')","(0.6888601896857978, 'SuggestedLiterature')","(0.6889759293721434, 'Neo4J')","(0.6891481421398997, 'Selector')","(0.6893039680370674, 'ImportAnnotations')","(0.6893391248707865, 'MoodleReport')","(0.6895527396455772, 'AnnotatedPDF')","(0.6897168513236207, 'Hypothesis')","(0.6897274646939103, 'Classifying')","(0.6898105917750488, 'SidebarNavigation')","(0.6898811534533242, 'Codebook')","(0.6899194912802111, 'Replying')","(0.6899971668272653, 'ImportCodebook')","(0.6900078629164691, 'UserFilter')","(0.6902852448122858, 'BrowserStorage')","(0.6903672691158649, 'ExportCodebook')","(0.6906105202952358, 'MoodleResource')","(0.6906107439321985, 'Multivalued')","(0.6908027627923171, 'BuiltIn')","(0.6908058801382311, 'CodebookDelete')","(0.6909964330684089, 'RenameCodebook')","(0.6910960638672146, 'Hierarchy')","(0.6911555953567975, 'AnnotationServer')","(0.6911880869711811, 'GoogleSheetConsumer')","(0.6913662008836398, 'ApplicationBased')","(0.6915979391532939, 'GoogleSheetProvider')","(0.6916622427620542, 'CodebookUpdate')","(0.6923018655594471, 'MoodleProvider')","(1, 'Springer')"
Canvas,"(0.02195447851273067, 'LastAnnotation')","(0.027327874352698196, 'AnnotatedPDF')","(0.1345659939344437, 'TextSummary')","(0.16770635167205178, 'AnnotationList')","(0.35909872350243977, 'Dropbox')","(0.38106549675979484, 'JSON')","(0.4347218803068945, 'DeleteAll')","(0.49279106317551596, 'MoodleReport')","(0.5201474307431206, 'ImportAnnotations')","(0.5433415536364579, 'SentimentAnalysis')","(0.5633790148322074, 'ACM')","(0.5642569247085292, 'Springer')","(0.5651261683477096, 'DOI')","(0.5687467112127556, 'ScienceDirect')","(0.5708715559642552, 'PreviousAssignments')","(0.6173872624929833, 'Autocomplete')","(0.6293209186252758, 'GoogleSheetConsumer')","(0.6422351576035842, 'URL')","(0.6443625432715254, 'Alphabetical')","(0.6573326017659161, 'Date')","(0.6585600532822846, 'Number')","(0.6620711555929857, 'HTML')","(0.6649457141115308, 'Export')","(0.6655378643486323, 'TXT')","(0.6672450751427239, 'Assessing')","(0.6684870898290114, 'PDF')","(0.6733151595455272, 'Manual')","(0.673353698136434, 'Remote')","(0.67390253818926, 'MoodleComment')","(0.6752888411813807, 'Categorize')","(0.6796088728554923, 'URN')","(0.6808624401866392, 'Commenting')","(0.6809347033168294, 'Hypothesis')","(0.6810233512624841, 'Update')","(0.6816569093849137, 'Create')","(0.6816813996121402, 'Neo4J')","(0.6817461808332701, 'Delete')","(0.682084262708021, 'MoodleConsumer')","(0.6821855893627722, 'Selector')","(0.6824856916106676, 'SuggestedLiterature')","(0.6831085574971065, 'Codebook')","(0.6831269748889512, 'ImportCodebook')","(0.683815612686024, 'SidebarNavigation')","(0.6842154084795762, 'Classifying')","(0.6844326918643919, 'ExportCodebook')","(0.6847929423304993, 'Replying')","(0.6858188318653243, 'UserFilter')","(0.6858508062671194, 'BrowserStorage')","(0.6859657502610541, 'BuiltIn')","(0.6860708316733224, 'Hierarchy')","(0.6863933934439053, 'Multivalued')","(0.6869704508944112, 'CodebookDelete')","(0.68720107082538, 'MoodleResource')","(0.6874177778336894, 'AnnotationServer')","(0.6880230532071134, 'RenameCodebook')","(0.6882474769620106, 'GoogleSheetProvider')","(0.6883496485832539, 'CodebookUpdate')","(0.688761815804948, 'ApplicationBased')","(0.6904011288725174, 'MoodleProvider')","(1, 'Canvas')"
UserFilter,"(0.0004084244875885685, 'Delete')","(0.0004257975128334074, 'Create')","(0.0005588288007173051, 'Update')","(0.1751573210846934, 'DeleteAll')","(0.4967215700475073, 'Replying')","(0.5065449974420049, 'Selector')","(0.5550127079836067, 'Remote')","(0.5580414582072306, 'Autocomplete')","(0.559128157718154, 'SidebarNavigation')","(0.6341280417942021, 'CodebookDelete')","(0.6474177230117182, 'Hierarchy')","(0.6757924011301191, 'URL')","(0.676929034844723, 'Alphabetical')","(0.6818410149523755, 'Date')","(0.6819987124948975, 'Number')","(0.68317176221569, 'HTML')","(0.6839041477923928, 'Hypothesis')","(0.6843406573526922, 'Export')","(0.684805520147079, 'Assessing')","(0.685182854377482, 'PDF')","(0.6854226532283922, 'TXT')","(0.6858188318653243, 'Canvas')","(0.686047811479671, 'LastAnnotation')","(0.686525047400937, 'TextSummary')","(0.6867788530119057, 'MoodleComment')","(0.6869457411173414, 'SentimentAnalysis')","(0.6871070799161851, 'AnnotationList')","(0.6871793842918748, 'Categorize')","(0.6879940696018085, 'Dropbox')","(0.6884334239614289, 'URN')","(0.6886248554128951, 'JSON')","(0.6888064358898055, 'Commenting')","(0.6890901916551453, 'DOI')","(0.6891783853734702, 'MoodleConsumer')","(0.6894457381401191, 'SuggestedLiterature')","(0.6895797015375804, 'Neo4J')","(0.6896112655617157, 'ScienceDirect')","(0.6896937911550274, 'ACM')","(0.6898589250810865, 'ImportAnnotations')","(0.6898917466448264, 'MoodleReport')","(0.6900078629164691, 'Springer')","(0.6900202095502418, 'AnnotatedPDF')","(0.6901987596225836, 'Classifying')","(0.6903808573118182, 'Codebook')","(0.6904883323701618, 'ImportCodebook')","(0.6905789681802539, 'PreviousAssignments')","(0.6906680369288054, 'BrowserStorage')","(0.6907951274052457, 'ExportCodebook')","(0.6909264723451399, 'MoodleResource')","(0.6909544447788332, 'Multivalued')","(0.6911519847494068, 'BuiltIn')","(0.6912610743103398, 'RenameCodebook')","(0.691323855044983, 'Manual')","(0.6914337699248199, 'AnnotationServer')","(0.6914551590407259, 'GoogleSheetConsumer')","(0.6915848963596842, 'ApplicationBased')","(0.691827339648553, 'GoogleSheetProvider')","(0.6918855999299793, 'CodebookUpdate')","(0.6924251994502897, 'MoodleProvider')","(1, 'UserFilter')"
Commenting,"(0.0007161107737142485, 'Categorize')","(0.0035645945759482027, 'SuggestedLiterature')","(0.004318065852340794, 'Assessing')","(0.04472082921936084, 'Replying')","(0.0775170129412461, 'Selector')","(0.16363716937862638, 'SentimentAnalysis')","(0.23431871642012603, 'Classifying')","(0.2802282060069619, 'AnnotationList')","(0.3004486034800309, 'Autocomplete')","(0.5256157864827614, 'SidebarNavigation')","(0.5983893507280373, 'TXT')","(0.6084560285789229, 'Hypothesis')","(0.6671850049647118, 'URL')","(0.6684432451649535, 'Alphabetical')","(0.6748924534265432, 'Date')","(0.6753076128521092, 'Number')","(0.6769801515376034, 'HTML')","(0.6785149728467756, 'Export')","(0.6800050456116447, 'PDF')","(0.6808624401866392, 'Canvas')","(0.6813780564456594, 'LastAnnotation')","(0.6815939954928786, 'TextSummary')","(0.682575035515245, 'MoodleComment')","(0.682816226522077, 'Remote')","(0.6840206856397277, 'Dropbox')","(0.6853947873910908, 'URN')","(0.6855515413797306, 'JSON')","(0.6860226803507636, 'DOI')","(0.6861290792502506, 'Update')","(0.6864645472911065, 'Create')","(0.6865121783119974, 'Delete')","(0.6866095590732975, 'DeleteAll')","(0.6866934156354829, 'MoodleConsumer')","(0.6870429120302011, 'Neo4J')","(0.687115286045975, 'ScienceDirect')","(0.6875225975977965, 'ImportAnnotations')","(0.6875578132717534, 'MoodleReport')","(0.6875885349398485, 'ACM')","(0.6881282306462405, 'Springer')","(0.688149316511012, 'AnnotatedPDF')","(0.6882033212609955, 'Codebook')","(0.6883251956198042, 'ImportCodebook')","(0.6887504945801894, 'PreviousAssignments')","(0.6888064358898055, 'UserFilter')","(0.6889138572217166, 'ExportCodebook')","(0.6890893347008453, 'BrowserStorage')","(0.6895126312576941, 'Multivalued')","(0.6896203821240589, 'BuiltIn')","(0.6896568142418826, 'MoodleResource')","(0.6897358047525954, 'Manual')","(0.6898055026798369, 'CodebookDelete')","(0.689906717756406, 'Hierarchy')","(0.6901865537724375, 'RenameCodebook')","(0.6902305384885052, 'AnnotationServer')","(0.6903119938105666, 'GoogleSheetConsumer')","(0.6906812398890859, 'ApplicationBased')","(0.6908027857463659, 'GoogleSheetProvider')","(0.6908819091836611, 'CodebookUpdate')","(0.6918640261605167, 'MoodleProvider')","(1, 'Commenting')"
