BuiltIn, MoodleReport, 219
BuiltIn, DeleteAll, 169
Classifying, DeleteAll, 170
Classifying, BrowserStorage, 169
Classifying, CodebookDelete, 168
Classifying, RenameCodebook, 168
Classifying, AnnotationServer, 168
Classifying, Manual, 168
Date, ImportCodebook, 275
Date, ExportCodebook, 274
Date, MoodleReport, 248
Date, DeleteAll, 175
Date, BrowserStorage, 174
Date, CodebookDelete, 174
Date, Manual, 173
Date, RenameCodebook, 172
Date, AnnotationServer, 171
RenameCodebook, Codebook, 265
RenameCodebook, CodebookUpdate, 248
RenameCodebook, BuiltIn, 232
RenameCodebook, ApplicationBased, 211
RenameCodebook, ImportCodebook, 206
RenameCodebook, Date, 172
RenameCodebook, Autocomplete, 169
RenameCodebook, DeleteAll, 168
RenameCodebook, Classifying, 168
RenameCodebook, MoodleReport, 168
RenameCodebook, SidebarNavigation, 168
RenameCodebook, BrowserStorage, 168
RenameCodebook, MultiValued, 168
RenameCodebook, AnnotationServer, 168
RenameCodebook, Hierarchy, 167
MultiValued, ImportCodebook, 259
MultiValued, ExportCodebook, 258
MultiValued, DeleteAll, 169
MultiValued, BrowserStorage, 168
MultiValued, CodebookDelete, 168
MultiValued, RenameCodebook, 168
MultiValued, AnnotationServer, 168
MultiValued, Manual, 168
ImportCodebook, Date, 275
ImportCodebook, Hierarchy, 269
ImportCodebook, SidebarNavigation, 262
ImportCodebook, MultiValued, 259
ImportCodebook, Autocomplete, 228
ImportCodebook, RenameCodebook, 206
ImportCodebook, Manual, 205
ImportCodebook, CodebookDelete, 204
ImportCodebook, MoodleReport, 201
ImportCodebook, DeleteAll, 169
ImportCodebook, BrowserStorage, 168
ImportCodebook, AnnotationServer, 168
